Genotype,Bacteria,Time,Date
N2,OP50,3.5,2022-09-21
N2,OP50,2.1,2022-09-21
N2,OP50,2.4,2022-09-21
N2,OP50,9.4,2022-09-21
N2,OP50,3,2022-09-21
N2,OP50,2.8,2022-09-21
N2,OP50,2.7,2022-09-21
N2,OP50,4.7,2022-09-21
N2,OP50,2.3,2022-09-21
N2,OP50,6.9,2022-09-21
N2,OP50,1.9,2022-09-21
N2,OP50,5.1,2022-09-21
N2,OP50,2.2,2022-09-21
N2,OP50,4,2022-09-21
N2,OP50,2.1,2022-09-21
cest-2.1,OP50,5.7,2022-09-21
cest-2.1,OP50,6.1,2022-09-21
cest-2.1,OP50,3.2,2022-09-21
cest-2.1,OP50,1.9,2022-09-21
cest-2.1,OP50,3.5,2022-09-21
cest-2.1,OP50,17.3,2022-09-21
cest-2.1,OP50,14,2022-09-21
cest-2.1,OP50,19.7,2022-09-21
cest-2.1,OP50,2.7,2022-09-21
cest-2.1,OP50,2.4,2022-09-21
cest-2.1,OP50,4.4,2022-09-21
cest-2.1,OP50,16.1,2022-09-21
cest-2.1,OP50,11,2022-09-21
N2,JUb39,8,2022-09-21
N2,JUb39,2.3,2022-09-21
N2,JUb39,5.1,2022-09-21
N2,JUb39,2.8,2022-09-21
N2,JUb39,5.1,2022-09-21
N2,JUb39,3.2,2022-09-21
N2,JUb39,6.2,2022-09-21
N2,JUb39,13.5,2022-09-21
N2,JUb39,14.4,2022-09-21
N2,JUb39,6.3,2022-09-21
N2,JUb39,4.3,2022-09-21
N2,JUb39,6.8,2022-09-21
N2,JUb39,3.9,2022-09-21
N2,JUb39,4.8,2022-09-21
cest-2.1,JUb39,7.6,2022-09-21
cest-2.1,JUb39,19.4,2022-09-21
cest-2.1,JUb39,3.1,2022-09-21
cest-2.1,JUb39,7.3,2022-09-21
cest-2.1,JUb39,4.9,2022-09-21
cest-2.1,JUb39,2.9,2022-09-21
cest-2.1,JUb39,15,2022-09-21
cest-2.1,JUb39,8.1,2022-09-21
cest-2.1,JUb39,17.2,2022-09-21
cest-2.1,JUb39,16.4,2022-09-21
