Genotype,Bacteria,Time,Date
N2,OP50,1.3,2022-10-03
N2,OP50,7,2022-10-03
N2,OP50,1.9,2022-10-03
N2,OP50,6.2,2022-10-03
N2,OP50,3,2022-10-03
N2,OP50,5.1,2022-10-03
N2,OP50,3.2,2022-10-03
N2,OP50,2.8,2022-10-03
N2,OP50,3.9,2022-10-03
N2,OP50,4,2022-10-03
N2,OP50,3,2022-10-03
N2,OP50,1.6,2022-10-03
N2,OP50,7.3,2022-10-03
N2,OP50,9.9,2022-10-03
N2,OP50,2,2022-10-03
cest-4,OP50,3,2022-10-03
cest-4,OP50,5.8,2022-10-03
cest-4,OP50,2.9,2022-10-03
cest-4,OP50,9.7,2022-10-03
cest-4,OP50,2.8,2022-10-03
cest-4,OP50,3.8,2022-10-03
cest-4,OP50,8.8,2022-10-03
cest-4,OP50,4.3,2022-10-03
cest-4,OP50,2.2,2022-10-03
cest-4,OP50,2.4,2022-10-03
cest-4,OP50,1.9,2022-10-03
N2,MOYb033,2.9,2022-10-03
N2,MOYb033,2.9,2022-10-03
N2,MOYb033,2,2022-10-03
N2,MOYb033,2.1,2022-10-03
N2,MOYb033,3.4,2022-10-03
N2,MOYb033,3.4,2022-10-03
N2,MOYb033,2.7,2022-10-03
N2,MOYb033,3.2,2022-10-03
N2,MOYb033,2.8,2022-10-03
N2,MOYb033,4,2022-10-03
N2,MOYb033,2.5,2022-10-03
N2,MOYb033,2,2022-10-03
N2,MOYb033,5.9,2022-10-03
N2,MOYb033,5.2,2022-10-03
N2,MOYb033,7.1,2022-10-03
cest-4,MOYb033,3.9,2022-10-03
cest-4,MOYb033,3.4,2022-10-03
cest-4,MOYb033,5.2,2022-10-03
cest-4,MOYb033,4.3,2022-10-03
cest-4,MOYb033,4,2022-10-03
cest-4,MOYb033,5.8,2022-10-03
cest-4,MOYb033,4.7,2022-10-03
cest-4,MOYb033,3.8,2022-10-03
cest-4,MOYb033,7,2022-10-03
cest-4,MOYb033,3.2,2022-10-03
cest-4,MOYb033,3.2,2022-10-03
N2,Co-culture,5.1,2022-10-03
N2,Co-culture,3.9,2022-10-03
N2,Co-culture,3.5,2022-10-03
N2,Co-culture,9.3,2022-10-03
N2,Co-culture,4.5,2022-10-03
N2,Co-culture,4.4,2022-10-03
N2,Co-culture,9.3,2022-10-03
N2,Co-culture,3.3,2022-10-03
N2,Co-culture,3.4,2022-10-03
N2,Co-culture,2,2022-10-03
N2,Co-culture,2.9,2022-10-03
N2,Co-culture,4.4,2022-10-03
N2,Co-culture,4.7,2022-10-03
N2,Co-culture,3.3,2022-10-03
N2,Co-culture,7.2,2022-10-03
cest-4,Co-culture,7.8,2022-10-03
cest-4,Co-culture,3.6,2022-10-03
cest-4,Co-culture,6.4,2022-10-03
cest-4,Co-culture,5.1,2022-10-03
cest-4,Co-culture,5.3,2022-10-03
cest-4,Co-culture,6,2022-10-03
cest-4,Co-culture,5.4,2022-10-03
cest-4,Co-culture,4.1,2022-10-03
cest-4,Co-culture,2.9,2022-10-03
cest-4,Co-culture,4.7,2022-10-03
cest-4,Co-culture,5.8,2022-10-03
cest-4,Co-culture,10.1,2022-10-03
cest-4,Co-culture,7.6,2022-10-03
N2,OP50,2.3,2022-09-10
N2,OP50,2.7,2022-09-10
N2,OP50,2.9,2022-09-10
N2,OP50,4,2022-09-10
N2,OP50,14.9,2022-09-10
N2,OP50,3.2,2022-09-10
N2,OP50,1.6,2022-09-10
N2,OP50,4,2022-09-10
N2,OP50,5.2,2022-09-10
N2,OP50,8.7,2022-09-10
N2,OP50,4.1,2022-09-10
N2,OP50,2.4,2022-09-10
N2,OP50,2.8,2022-09-10
N2,OP50,5.6,2022-09-10
N2,MOYb033,3.4,2022-09-10
N2,MOYb033,2.2,2022-09-10
N2,MOYb033,3.5,2022-09-10
N2,MOYb033,4.9,2022-09-10
N2,MOYb033,2.7,2022-09-10
N2,MOYb033,4.7,2022-09-10
N2,MOYb033,2.4,2022-09-10
N2,MOYb033,1.8,2022-09-10
N2,MOYb033,1.9,2022-09-10
N2,MOYb033,3.5,2022-09-10
N2,MOYb033,3.5,2022-09-10
N2,MOYb033,4.4,2022-09-10
N2,MOYb033,2,2022-09-10
N2,MOYb033,2,2022-09-10
N2,MOYb033,2.4,2022-09-10
N2,MOYb033,2.6,2022-09-10
N2,MOYb033,2.7,2022-09-10
N2,MOYb033,4.3,2022-09-10
cest-4,MOYb033,5.5,2022-09-10
cest-4,MOYb033,4.3,2022-09-10
cest-4,MOYb033,4.1,2022-09-10
cest-4,MOYb033,5.1,2022-09-10
cest-4,MOYb033,5,2022-09-10
cest-4,MOYb033,4,2022-09-10
cest-4,MOYb033,2.6,2022-09-10
cest-4,MOYb033,3.1,2022-09-10
cest-4,MOYb033,3.1,2022-09-10
cest-4,MOYb033,6.3,2022-09-10
cest-4,MOYb033,2.6,2022-09-10
N2,Co-culture,2.1,2022-09-10
N2,Co-culture,2.6,2022-09-10
N2,Co-culture,4.3,2022-09-10
N2,Co-culture,2.8,2022-09-10
N2,Co-culture,2.5,2022-09-10
N2,Co-culture,2.4,2022-09-10
N2,Co-culture,2.7,2022-09-10
N2,Co-culture,1.8,2022-09-10
N2,Co-culture,1.5,2022-09-10
N2,Co-culture,2.6,2022-09-10
N2,Co-culture,2.5,2022-09-10
N2,Co-culture,2.2,2022-09-10
cest-4,Co-culture,3.9,2022-09-10
cest-4,Co-culture,3.6,2022-09-10
cest-4,Co-culture,2.6,2022-09-10
cest-4,Co-culture,2.9,2022-09-10
cest-4,Co-culture,5.2,2022-09-10
cest-4,Co-culture,3.7,2022-09-10
cest-4,Co-culture,2.7,2022-09-10
cest-4,Co-culture,2.3,2022-09-10
cest-4,Co-culture,2.2,2022-09-10
cest-4,Co-culture,2.6,2022-09-10
cest-4,Co-culture,2.4,2022-09-10
cest-4,Co-culture,3.7,2022-09-10
cest-4,Co-culture,4.5,2022-09-10
cest-4,Co-culture,4.1,2022-09-10
cest-4,Co-culture,2.5,2022-09-10
cest-4,Co-culture,3.7,2022-09-10
cest-4,Co-culture,3.2,2022-09-10
cest-4,Co-culture,1.9,2022-09-10
cest-4,Co-culture,2.4,2022-09-10
